,column_name,non_null,unique_count,dtype
234,Unnamed: 234,0,0,float64
235,Unnamed: 235,0,0,float64
236,Unnamed: 236,0,0,float64
237,Unnamed: 237,0,0,float64
238,Unnamed: 238,0,0,float64
239,Unnamed: 239,0,0,float64
240,Unnamed: 240,0,0,float64
241,Unnamed: 241,0,0,float64
242,Unnamed: 242,0,0,float64
243,Unnamed: 243,0,0,float64
244,Unnamed: 244,0,0,float64
245,Unnamed: 245,0,0,float64
246,Unnamed: 246,0,0,float64
247,Unnamed: 247,0,0,float64
248,Unnamed: 248,0,0,float64
249,Unnamed: 249,0,0,float64
250,Unnamed: 250,0,0,float64
251,Unnamed: 251,0,0,float64
252,Unnamed: 252,0,0,float64
253,Unnamed: 253,0,0,float64
254,Unnamed: 254,0,0,float64
255,Unnamed: 255,0,0,float64
256,Unnamed: 256,0,0,float64
257,Unnamed: 257,0,0,float64
258,Unnamed: 258,0,0,float64
259,Unnamed: 259,0,0,float64
260,Unnamed: 260,0,0,float64
261,Unnamed: 261,0,0,float64
262,Unnamed: 262,0,0,float64
263,Unnamed: 263,0,0,float64
264,Unnamed: 264,0,0,float64
265,Unnamed: 265,0,0,float64
266,Unnamed: 266,0,0,float64
267,Unnamed: 267,0,0,float64
