gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
665715470	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/724/508/192909_Dorsal_RB01_MZ.jpg		192909	FMNH 192909 Galago orinus; dorsal view of the cranium.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715470	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/724/518/192909_SkinVentral_RB01_MZ.jpg		192909	FMNH 192909 Galago orinus; ventral view of the skin.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715470				http://fm-digital-asse										
665715470	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/724/514/192909_LLowerJaw_RB01_MZ.jpg		192909	FMNH 192909 Galago orinus; lateral view of the mandible.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715470	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/724/517/192909_SkinLateral_RB01_MZ.jpg		192909	FMNH 192909 Galago orinus; lateral view of the skin.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715470	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/724/506/192909_DLowerJaw_RB01_MZ.jpg											
665715470	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/724/512/192909_Lateral_RB01_MZ.jpg		192909	FMNH 192909 Galago orinus; lateral view of the cranium.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715470	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/724/516/192909_SkinDorsal_RB01_MZ.jpg		192909	FMNH 192909 Galago orinus; dorsal view of the skin.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715470	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/724/510/192909_FullLateral_RB01_MZ.jpg											
665715470	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/724/510/192909_FullLateral_RB01_MZ.jpg		192909	FMNH 192909 Galago orinus; full lateral view of the skull.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715470	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/724/508/192909_Dorsal_RB01_MZ.jpg											
665715470	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/724/506/192909_DLowerJaw_RB01_MZ.jpg		192909	FMNH 192909 Galago orinus; dorsal view of the mandible.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715475	StillImage	x-unknown	https://fm-digital-assets.fieldmuseum.org/2212/005/FMNH_M_27183_Papio_cranium.ply		FMNH M 27183 Papio cranium	FMNH M 27183 Papio cranium 3D model.			2014-07	Ryan Knigge : University of Missouri-Columbia			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715475				http://fm-digital-assets.fieldmuseum.org/2212/005/FMNH_M_27183_Papio_cranium.ply										
